,Unnamed: 0,ID,IS_HCP,TAXONOMY
0,0,1001,0.0,nan
1,1,1002,1.0,2084P0800X
2,2,1003,0.0,nan
3,3,1004,0.0,nan
4,4,1005,1.0,2084P0800X
5,5,1006,0.0,nan
6,6,1007,0.0,nan
7,7,1008,1.0,2084P0800X
8,8,1009,0.0,nan
9,9,1010,0.0,nan
10,10,1011,1.0,2084P0800X
11,11,1012,1.0,2084P0800X
12,12,1013,1.0,2084P0800X
13,13,1014,0.0,nan
14,14,1015,0.0,nan
15,15,1016,0.0,nan
16,16,1017,0.0,nan
17,17,1018,0.0,nan
18,18,1019,0.0,nan
19,19,1020,0.0,nan
20,20,1021,0.0,nan
21,21,1022,0.0,nan
22,22,1023,0.0,nan
23,23,1024,0.0,nan
24,24,1025,0.0,nan
25,25,1026,0.0,nan
26,26,1027,0.0,nan
27,27,1028,0.0,nan
28,28,1029,0.0,nan
29,29,1030,1.0,2084P0800X
30,30,1031,0.0,nan
31,31,1032,1.0,2084P0800X
32,32,1033,0.0,nan
33,33,1034,0.0,nan
34,34,1035,0.0,nan
35,35,1036,1.0,2084P0800X
36,36,1037,1.0,2084P0800X
37,37,1038,1.0,2084P0800X
38,38,1039,1.0,2084P0800X
39,39,1040,0.0,nan
40,40,1041,0.0,nan
41,41,1042,1.0,2084N0400X
42,42,1043,0.0,nan
43,43,1044,0.0,nan
44,44,1045,1.0,2084P0800X
45,45,1046,0.0,nan
46,46,1047,0.0,nan
47,47,1048,0.0,nan
48,48,1049,0.0,nan
49,49,1050,0.0,nan
50,50,1051,0.0,nan
51,51,1052,1.0,2084P0800X
52,52,1053,1.0,2084P0800X
53,53,1054,0.0,nan
54,54,1055,1.0,2084P0800X
55,55,1056,0.0,nan
56,56,1057,0.0,nan
57,57,1058,0.0,nan
58,58,1059,0.0,nan
59,59,1060,1.0,2084P0800X
60,60,1061,0.0,nan
61,61,1062,1.0,2084P0800X
62,62,1063,0.0,nan
63,63,1064,0.0,nan
64,64,1065,0.0,nan
65,65,1066,1.0,2084P0800X
66,66,1067,0.0,nan
67,67,1068,1.0,2084P0800X
68,68,1069,0.0,nan
69,69,1070,0.0,nan
70,70,1071,0.0,nan
71,71,1072,0.0,nan
72,72,1073,0.0,nan
73,73,1074,0.0,nan
74,74,1075,0.0,nan
75,75,1076,1.0,2084P0800X
76,76,1077,1.0,2084P0800X
77,77,1078,1.0,2084P0800X
78,78,1079,1.0,2084P0800X
79,79,1080,1.0,2084P0800X
80,80,1081,0.0,nan
81,81,1082,1.0,2084P0800X
82,82,1083,0.0,nan
83,83,1084,0.0,nan
84,84,1085,0.0,nan
85,85,1086,0.0,nan
86,86,1087,1.0,2084P0800X
87,87,1088,0.0,nan
88,88,1089,0.0,nan
89,89,1090,0.0,nan
90,90,1091,0.0,nan
91,91,1092,0.0,nan
92,92,1093,0.0,nan
93,93,1094,0.0,nan
94,94,1095,1.0,2084P0800X
95,95,1096,1.0,2084P0800X
96,96,1097,0.0,nan
97,97,1098,1.0,2084P0800X
98,98,1099,0.0,nan
99,99,1100,0.0,nan
100,100,1101,1.0,2084P0800X
101,101,1102,0.0,nan
102,102,1103,0.0,nan
103,103,1104,0.0,nan
104,104,1105,1.0,2084N0400X
105,105,1106,0.0,nan
106,106,1107,1.0,2084P0800X
107,107,1108,0.0,nan
108,108,1109,0.0,nan
109,109,1110,1.0,2084P0800X
